date,time,cpu-thermal
2026-09-02,07:08:01,55.812
2026-09-02,07:09:01,55.437
2026-09-02,07:10:01,55.968
2026-09-02,07:11:01,55.843
2026-09-02,07:12:01,55.500
2026-09-02,07:13:01,55.406
2026-09-02,07:14:01,55.781
2026-09-02,07:15:01,55.625
2026-09-02,07:16:01,55.812
2026-09-02,07:17:01,55.812
2026-09-02,07:18:01,55.812
2026-09-02,07:19:01,55.656
2026-09-02,07:20:01,55.593
2026-09-02,07:21:01,55.562
2026-09-02,07:22:01,55.718
2026-09-02,07:23:01,55.656
2026-09-02,07:24:01,55.562
2026-09-02,07:25:01,55.906
2026-09-02,07:26:01,55.468
2026-09-02,07:27:01,55.656
2026-09-02,07:28:01,55.531
2026-09-02,07:29:01,55.812
2026-09-02,07:30:02,55.218
2026-09-02,07:31:01,55.250
2026-09-02,07:32:01,55.437
2026-09-02,07:33:01,55.843
2026-09-02,07:34:01,55.375
2026-09-02,07:35:01,55.343
2026-09-02,07:36:01,55.531
2026-09-02,07:37:01,55.406
2026-09-02,07:38:01,55.562
2026-09-02,07:39:01,55.562
2026-09-02,07:40:01,55.656
2026-09-02,07:41:01,55.281
2026-09-02,07:42:01,55.406
2026-09-02,07:43:02,55.500
2026-09-02,07:44:01,55.562
2026-09-02,07:45:01,55.218
2026-09-02,07:46:01,55.375
2026-09-02,07:47:01,55.500
2026-09-02,07:48:01,55.343
2026-09-02,07:49:01,55.468
2026-09-02,07:50:01,55.875
2026-09-02,07:51:01,55.312
2026-09-02,07:52:01,55.281
2026-09-02,07:53:01,55.218
2026-09-02,07:54:01,55.375
2026-09-02,07:55:01,55.437
2026-09-02,07:56:02,55.343
2026-09-02,07:57:01,55.468
2026-09-02,07:58:01,55.156
2026-09-02,07:59:01,55.125
2026-09-02,08:00:01,55.312
2026-09-02,08:01:01,55.125
2026-09-02,08:02:01,55.343
2026-09-02,08:03:01,55.031
2026-09-02,08:04:01,55.406
2026-09-02,08:05:01,55.406
2026-09-02,08:06:01,55.531
2026-09-02,08:07:01,55.093
2026-09-02,08:08:01,55.250
2026-09-02,08:09:02,55.250
2026-09-02,08:10:01,55.218
2026-09-02,08:11:01,55.187
2026-09-02,08:12:01,55.093
2026-09-02,08:13:01,55.031
2026-09-02,08:14:01,55.343
2026-09-02,08:15:01,55.312
